panel,Split,n,median_nearest_train_tanimoto,true_phys_ok,true_phys_partial,true_phys_other,Target,R2_mean,R2_std,MAE_mean,RMSE_mean,butina_80_20,random_80_20,scaffold_80_20,floor,ceiling,loss,index,median_norm_abs_error,q25,q75
a_validation_profiles,random_80_20,3390.0,0.6829268292682927,2523.0,867.0,0.0,,,,,,,,,,,,,,,
a_validation_profiles,scaffold_80_20,3390.0,0.4901960784313725,3388.0,2.0,0.0,,,,,,,,,,,,,,,
a_validation_profiles,butina_80_20,3391.0,0.5909090909090909,2816.0,575.0,0.0,,,,,,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,Density,0.9949342652414536,0.0005815971434439,0.0054530723330874,0.0090095720564325,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,Density,0.9701196003966692,0.0125113465883667,0.0112850461155175,0.0177651271224021,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,Density,0.9927015352237571,0.0010075379960575,0.0065553123131394,0.010061716971298,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,Heat_of_Formation,0.972258172774654,0.0016080588374039,8.03738292058309,13.305570284525553,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,Heat_of_Formation,0.9009938293987512,0.0289189107116778,18.28046194712321,26.81187566121419,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,Heat_of_Formation,0.9635094194224386,0.0066481876970981,9.457128206888834,15.21503480275472,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,HOMO_LUMO_Gap,0.6735143729867316,0.0203324157680986,0.2680259148279826,0.3891452153523763,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,HOMO_LUMO_Gap,0.5252013639630834,0.0251674113814696,0.4012857377529144,0.5278069376945496,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,HOMO_LUMO_Gap,0.6906998254919589,0.0214206085618142,0.2859369417031606,0.3997892737388611,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,SA_Score,0.97631178620258,0.0030720558884113,0.0781586418549219,0.1173700739940006,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,SA_Score,0.8396752298926273,0.0422451052586659,0.15185842414697,0.2164749999841054,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,SA_Score,0.9698009603192164,0.0053922938960809,0.0914949650565782,0.1350594659646352,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,VS_max,0.7658024299988969,0.0282646959478714,2.877852439880371,3.948765198389689,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,VS_max,0.6118887226622405,0.115174620016857,3.271881580352783,4.478867928187053,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,VS_max,0.7167678585959646,0.0421614222983873,2.989149490992228,4.060574690500896,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,Sigma2_tot,0.7301197392531832,0.0153163244307766,5.165522816241719e-05,8.118366774093981e-05,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,Sigma2_tot,0.6063803757594342,0.1014927785785992,6.497402258294945e-05,0.0001013249905857,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,Sigma2_tot,0.6793187433000832,0.0106427225313356,5.6438481503088646e-05,8.764199204354857e-05,,,,,,,,,,
b_r2_bubble_matrix,random_80_20,3.0,,,,,Nu,0.8197455835934013,0.0114724330601665,0.0096253824109832,0.0136705391729871,,,,,,,,,,
b_r2_bubble_matrix,scaffold_80_20,3.0,,,,,Nu,0.7910910285243408,0.0658174740146413,0.0103636837253967,0.0148494727909564,,,,,,,,,,
b_r2_bubble_matrix,butina_80_20,3.0,,,,,Nu,0.8095235821956801,0.0552443092683912,0.0100513556972145,0.0144058785711725,,,,,,,,,,
