Row_Index,Example_ID,clean_row_index,curated_row_index,_original_row_index,Molecule,SMILES,_canonical_smiles_noiso,_formula,Density_Source,Density_Label_Source,Density_Label_Is_True_Crystal,BDE_Job_Dir,BDE_Bond_Type,BDE_Bond_i_1based,BDE_Bond_j_1based,BDE_Bond_WBO,BDE_Parse_Status,_BDE_Align_Source,Density_calc(g/cm3),Heat_of_Formation(kcal/mol),HOMO_LUMO_Gap(eV),SAscore,SA_Score,VS_max,Sigma2_tot,Nu,Trigger_Bond_Rho,Molecular_Weight,Vertical_BDE(kcal/mol),Density,Heat_of_Formation,HOMO_LUMO_Gap,Vertical_BDE
0,0.0,0.0,0.0,0.0,GPT_AL_Target_0304,C12=NN=NN1[C@H1]2C(N)([N+1](=O)[O-1])[N+1](=O)[O-1],NC(C1c2nnnn21)([N+](=O)[O-])[N+](=O)[O-],C3H3N7O4,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000000_GPT_AL_Target_0304,N-N,10.0,11.0,0.979718728237736,complete,full_library_by_smiles,1.803,97.8,3.911,4.439922949750789,4.439922949750789,49.17498,0.00048564,0.15852137,0.166134,201.024651576,48.32480821992411,1.803,97.8,3.911,48.32480821992411
1,1.0,1.0,1.0,1.0,GPT_AL_Target_0075,C1=NNC2=C1C3=NN2N3N(N)C([N+1](=O)[O-1])[N+1](=O)[O-1],NN(C([N+](=O)[O-])[N+](=O)[O-])n1c2nn1c1[nH]ncc21,C5H5N9O4,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000001_GPT_AL_Target_0075,N-N,9.0,10.0,0.7324964864150101,complete,full_library_by_smiles,1.753,223.8,2.6809,5.1832712292301295,5.1832712292301295,56.09876,0.00062655,0.2372421,0.134556,255.04644964,27.781287273788458,1.753,223.8,2.6809,27.781287273788458
2,2.0,2.0,2.0,2.0,GPT_AL_Target_0474,C12=NON=C1C(C2NN)([N+1](=O)[O-1])[N+1](=O)[O-1],NNC1c2nonc2C1([N+](=O)[O-])[N+](=O)[O-],C4H4N6O5,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000002_GPT_AL_Target_0474,N-N,11.0,12.0,1.0168377974528866,complete,full_library_by_smiles,1.798,54.5,3.637,4.761020035877122,4.761020035877122,46.33587,0.00042864,0.12805283,0.193932,216.024317228,5.336000186818056,1.798,54.5,3.637,5.336000186818056
3,4.0,4.0,4.0,4.0,GPT_AL_Target_0489,C12=NON=C1NC2(C([N+1](=O)[O-1])N)[N+1](=O)[O-1],NC([N+](=O)[O-])C1([N+](=O)[O-])Nc2nonc21,C4H4N6O5,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000004_GPT_AL_Target_0489,N-N,14.0,15.0,0.9718778201512692,complete,full_library_by_smiles,1.809,27.2,4.5901,5.081570625338834,5.081570625338834,46.68606,0.0005197,0.14975885,0.169733,216.024317228,47.7991304042176,1.809,27.2,4.5901,47.7991304042176
4,5.0,5.0,5.0,5.0,GPT_AL_Target_0366,C12=NON=C1N(C([N+1](=O)[O-1])C2[N+1](=O)[O-1])NN,NNN1c2nonc2C([N+](=O)[O-])C1[N+](=O)[O-],C4H5N7O5,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000005_GPT_AL_Target_0366,N-N,14.0,15.0,1.0102968671252008,complete,full_library_by_smiles,1.796,32.1,3.4516,4.906656616945861,4.906656616945861,47.24634,0.0004812,0.12834699,0.183706,231.03521626,70.81274511844249,1.796,32.1,3.4516,70.81274511844249
5,6.0,6.0,6.0,6.0,GPT_AL_Target_0069,C12=NN=NN1C=C([N+1](=O)[O-1])C2(C([N+1](=O)[O-1])N)[N+1](=O)[O-1],NC([N+](=O)[O-])C1([N+](=O)[O-])C([N+](=O)[O-])=Cn2nnnc21,C5H4N8O6,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000006_GPT_AL_Target_0069,N-N,13.0,14.0,1.0506651212875098,complete,full_library_by_smiles,1.856,16.7,3.6864,5.048355603905588,5.048355603905588,50.21176,0.00085589,0.2385234,0.169037,272.025379848,75.27228448072877,1.856,16.7,3.6864,75.27228448072877
6,7.0,7.0,7.0,7.0,GPT_AL_Target_0328,C12=NN=NN1N(ONC2)CC([N+1](=O)[O-1])([N+1](=O)[O-1])N,NC(CN1ONCc2nnnn21)([N+](=O)[O-])[N+](=O)[O-],C4H7N9O5,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000007_GPT_AL_Target_0328,N-N,14.0,18.0,0.9941689314025404,complete,full_library_by_smiles,1.78,38.2,4.2175,4.706182458958947,4.706182458958947,53.73225,0.00060057,0.21753966,0.1515,261.057014324,57.040470756921934,1.78,38.2,4.2175,57.040470756921934
7,8.0,8.0,8.0,8.0,GPT_AL_Target_0420,C12=NN=NN1C2([N+1](=O)[O-1])C(CN)[N+1](=O)[O-1],NCC([N+](=O)[O-])C1([N+](=O)[O-])c2nnnn21,C4H5N7O4,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000008_GPT_AL_Target_0420,N-N,11.0,12.0,1.0005332352477443,complete,full_library_by_smiles,1.728,79.1,3.3601,4.956429086877295,4.956429086877295,43.20071,0.00046142,0.16729289,0.184629,215.04030164,69.26546356867347,1.728,79.1,3.3601,69.26546356867347
8,9.0,9.0,9.0,9.0,GPT_AL_Target_0320,C12=NN=NN1NC=[N+1](N)C2=C(C[N+1](=O)[O-1])O[O-1],N[N+]1=CNn2nnnc2C1=C(C[N+](=O)[O-])O[O-],C5H6N8O4,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000009_GPT_AL_Target_0320,N-N,14.0,15.0,0.9919524591513876,complete,full_library_by_smiles,1.738,120.4,2.1482,5.0356289386327,5.0356289386327,75.34426,0.00148274,0.21926325,0.190574,242.051200672,57.273785151738615,1.738,120.4,2.1482,57.273785151738615
9,10.0,10.0,10.0,10.0,GPT_AL_Target_0102,C12=NN=NN1N(N)C(C=C([N+1](=O)[O-1])C[N+1](=O)[O-1])=C2[N+1](=O)[O-1],Nn1c(C=C(C[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c2nnnn21,C6H5N9O6,,proxy_linear_calibrated_to_reference_crystal_density,False,workflow_records/orca/row000010_GPT_AL_Target_0102,N-N,11.0,12.0,0.9126209703547872,complete,full_library_by_smiles,1.801,63.4,3.7073,4.151025763289312,4.151025763289312,63.66529,0.0008587,0.24444878,0.187199,299.03627888,38.42980826979715,1.801,63.4,3.7073,38.42980826979715
