Target,N_validation,R2,MAE,RMSE,Validation_predictions
Density,543,0.9955546604168767,0.0052275280047955845,0.008194458246084273,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Heat_of_Formation,543,0.9638771088673573,8.23806278650438,14.37834199919405,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
HOMO_LUMO_Gap,543,0.8074111328453558,0.2004244413165098,0.2996443563185717,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
SA_Score,543,0.9797239974455613,0.06938992833125218,0.11107330552377581,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
VS_max,543,0.7108986879064206,3.497125948770709,4.594830442442042,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Sigma2_tot,543,0.713616085421128,5.798162663060644e-05,8.019999464631819e-05,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Nu,543,0.7563507224503931,0.01221801896286274,0.01663499830065722,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Trigger_Bond_Rho,543,0.8376974319235263,0.004998045045587459,0.009157667161422951,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Molecular_Weight,543,0.9999879639612359,0.2803202536005128,0.5881904923515091,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
Vertical_BDE,543,0.7656113056775465,4.595117482032565,7.8256528303655095,D:\aFILE\含能分子\论文\论文1\Manuscript\05_supplementary_data\Supplementary_Data_4_Validation_Predictions_Final_Hybrid_seed42.csv
