Molecule,SMILES,Source_Group,Final_Detonation_D(km/s),Final_Detonation_P(GPa),Final_Detonation_Density_Used(g/cm3),Final_Detonation_HOF_Used(kcal/mol),Vertical_BDE(kcal/mol),Trigger_Bond_Rho,VS_max,Sigma2_tot,Nu,SAscore,SYBA_Score,Final_Synthesis_Readiness_Tier,Counterfactual_Single_D_Score,Counterfactual_No_QTAIM_Score,Counterfactual_With_QTAIM_Score,Single_D_Rank,No_QTAIM_Rank,With_QTAIM_Rank,BDE_ge_120_kJmol,BDE_ge_50_kcalmol,Route_solved
AL04_Target_0027,C12=NON=C1N2N(N)[N+1](=O)[O-1],AL04,10.1457,46.3906,1.848805489991176,205.1,32.588099035543465,0.205094,50.78889,0.00063473,0.13563875,4.091384951681844,6.103819763669904,Tier_B_near_analogue_supported_route_unresolved,1.0,0.8516967353951891,0.655869259606373,1,2,297,True,False,False
AL07_Target_0282,C12=NON=C1C2(N)N([N+1](=O)[O-1])[N+1](=O)O[O-1],AL07,10.1253,47.2142,1.919,187.4,26.12305320120981,0.209192,55.81396,0.00071619,0.14866645,4.890793118803916,-11.452381685491032,Tier_C_partial_descriptor_support_high_route_risk,0.9998159057437408,0.7397674275895926,0.5764660597134824,2,246,1201,False,False,False
AL05_Target_0006,C12=NON=C1C23N([N+1](=O)[O-1])N([N+1](=O)[O-1])N3N,AL05,10.0223,46.3136,1.923,222.6,33.87716227898274,0.179986,58.91321,0.00058746,0.09336384,5.14081040136608,-6.924639788669484,Tier_C_partial_descriptor_support_high_route_risk,0.9996318114874816,0.743894207167403,0.5728176462712544,3,219,1268,True,False,False
AL05_Target_0148,C12=NON=C1C2N([N+1](=O)[O-1])N([N+1](=O)[O-1])ON,AL05,9.9901,45.8794,1.913,172.0,43.90555830363521,0.215693,48.22238,0.00055621,0.14578001,4.674259745473556,-7.49682099657176,Tier_C_partial_descriptor_support_high_route_risk,0.9994477172312224,0.7729964408443789,0.6607310215557637,4,93,272,True,False,False
AL05_Target_0422,C12=NON=C1N2N(N)N=[C@@H1]N([N+1](=O)[O-1])[N+1](=O)[O-1],AL05,9.9754,45.259,1.878,252.7,24.668768865047085,0.201673,47.60809,0.00049894,0.19142223,4.55795052832885,-0.5372386415072907,Tier_C_partial_descriptor_support_high_route_risk,0.9992636229749632,0.806808419243986,0.635250702905342,5,26,461,False,False,False
AL05_Target_0162,C12=NON=C1N2N=[C@H1]N(N)N([N+1](=O)[O-1])[N+1](=O)[O-1],AL05,9.9391,44.9024,1.876,247.5,43.48073530141665,0.201999,52.38706,0.00079512,0.14005289,4.523280963111459,-2.462583178937703,Tier_C_partial_descriptor_support_high_route_risk,0.999079528718704,0.8070999018163967,0.6243640380238318,6,25,561,True,False,False
AL05_Target_0483,C12=NON=C1C2N(ON)N([N+1](=O)[O-1])[N+1](=O)[O-1],AL05,9.9329,45.0542,1.891,176.4,62.87888350952918,0.194781,41.83821,0.00047982,0.15879515,4.674259745473557,-6.803672373746073,Tier_C_partial_descriptor_support_high_route_risk,0.9988954344624448,0.7729657584683358,0.7017924086223055,7,94,75,True,True,False
AL04_Target_0008,C12=NON=C1C2(ON)N([N+1](=O)[O-1])[N+1](=O)[O-1],AL04,9.9202,45.7732,1.9528400431530213,130.6,36.67873796512783,0.218733,48.70442,0.0005681,0.12265039,4.594945811111609,-7.678800199537612,Tier_C_partial_descriptor_support_high_route_risk,0.9987113402061856,0.773686794305351,0.6547228544651226,8,90,310,True,False,False
AL08_Target_0010,C12=NON=C1C2(N([N+1](=O)[O-1])ON=NN)[N+1](=O)[O-1],AL08,9.9124,45.3168,1.924,194.7,36.252923713812,0.167326,58.34233,0.00054618,0.11126418,4.909338822643232,-17.470373241784078,Tier_C_partial_descriptor_support_high_route_risk,0.9985272459499264,0.718519882179676,0.5317646271254519,9,355,2060,True,False,False
AL05_Target_0193,C12=NON=C1C2NON([N+1](=O)[O-1])N([N+1](=O)[O-1])N,AL05,9.9037,44.6934,1.884,183.9,29.729104914846403,0.212179,49.26965,0.00061485,0.17786799,4.743591331004436,-9.881426061012933,Tier_C_partial_descriptor_support_high_route_risk,0.9983431516936672,0.7519176485027,0.6084315169366715,10,174,744,True,False,False
