feature,nonnull,n
phys_qtaim_status_ok,5649,5649
phys_qtaim_all_bcp_ELF_max,4239,5649
phys_qtaim_all_bcp_ELF_mean,4239,5649
phys_qtaim_all_bcp_ELF_min,4239,5649
phys_qtaim_all_bcp_ELF_p05,4239,5649
phys_qtaim_all_bcp_ELF_p50,4239,5649
phys_qtaim_all_bcp_ELF_p95,4239,5649
phys_qtaim_all_bcp_ELF_std,4239,5649
phys_qtaim_all_bcp_G_max,4239,5649
phys_qtaim_all_bcp_G_mean,4239,5649
phys_qtaim_all_bcp_G_min,4239,5649
phys_qtaim_all_bcp_G_p05,4239,5649
phys_qtaim_all_bcp_G_p50,4239,5649
phys_qtaim_all_bcp_G_p95,4239,5649
phys_qtaim_all_bcp_G_std,4239,5649
phys_qtaim_all_bcp_H_max,4239,5649
phys_qtaim_all_bcp_H_mean,4239,5649
phys_qtaim_all_bcp_H_min,4239,5649
phys_qtaim_all_bcp_H_p05,4239,5649
phys_qtaim_all_bcp_H_p50,4239,5649
phys_qtaim_all_bcp_H_p95,4239,5649
phys_qtaim_all_bcp_H_std,4239,5649
phys_qtaim_all_bcp_LOL_max,4239,5649
phys_qtaim_all_bcp_LOL_mean,4239,5649
phys_qtaim_all_bcp_LOL_min,4239,5649
phys_qtaim_all_bcp_LOL_p05,4239,5649
phys_qtaim_all_bcp_LOL_p50,4239,5649
phys_qtaim_all_bcp_LOL_p95,4239,5649
phys_qtaim_all_bcp_LOL_std,4239,5649
phys_qtaim_all_bcp_V_max,4239,5649
phys_qtaim_all_bcp_V_mean,4239,5649
phys_qtaim_all_bcp_V_min,4239,5649
phys_qtaim_all_bcp_V_p05,4239,5649
phys_qtaim_all_bcp_V_p50,4239,5649
phys_qtaim_all_bcp_V_p95,4239,5649
phys_qtaim_all_bcp_V_std,4239,5649
phys_qtaim_all_bcp_count,4239,5649
phys_qtaim_all_bcp_ellipticity_max,4239,5649
phys_qtaim_all_bcp_ellipticity_mean,4239,5649
phys_qtaim_all_bcp_ellipticity_min,4239,5649
phys_qtaim_all_bcp_ellipticity_p05,4239,5649
phys_qtaim_all_bcp_ellipticity_p50,4239,5649
phys_qtaim_all_bcp_ellipticity_p95,4239,5649
phys_qtaim_all_bcp_ellipticity_std,4239,5649
phys_qtaim_all_bcp_laplacian_max,4239,5649
phys_qtaim_all_bcp_laplacian_mean,4239,5649
phys_qtaim_all_bcp_laplacian_min,4239,5649
phys_qtaim_all_bcp_laplacian_p05,4239,5649
phys_qtaim_all_bcp_laplacian_p50,4239,5649
phys_qtaim_all_bcp_laplacian_p95,4239,5649
phys_qtaim_all_bcp_laplacian_std,4239,5649
phys_qtaim_all_bcp_rho_max,4239,5649
phys_qtaim_all_bcp_rho_mean,4239,5649
phys_qtaim_all_bcp_rho_min,4239,5649
phys_qtaim_all_bcp_rho_p05,4239,5649
phys_qtaim_all_bcp_rho_p50,4239,5649
phys_qtaim_all_bcp_rho_p95,4239,5649
phys_qtaim_all_bcp_rho_std,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_max,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_mean,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_min,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p05,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p50,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p95,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_std,4239,5649
phys_qtaim_bcp_count,4239,5649
phys_qtaim_nontrigger_bcp_ELF_max,4239,5649
phys_qtaim_nontrigger_bcp_ELF_mean,4239,5649
phys_qtaim_nontrigger_bcp_ELF_min,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p05,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p50,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p95,4239,5649
phys_qtaim_nontrigger_bcp_ELF_std,4239,5649
phys_qtaim_nontrigger_bcp_G_max,4239,5649
phys_qtaim_nontrigger_bcp_G_mean,4239,5649
phys_qtaim_nontrigger_bcp_G_min,4239,5649
phys_qtaim_nontrigger_bcp_G_p05,4239,5649
phys_qtaim_nontrigger_bcp_G_p50,4239,5649
phys_qtaim_nontrigger_bcp_G_p95,4239,5649
phys_qtaim_nontrigger_bcp_G_std,4239,5649
phys_qtaim_nontrigger_bcp_H_max,4239,5649
phys_qtaim_nontrigger_bcp_H_mean,4239,5649
phys_qtaim_nontrigger_bcp_H_min,4239,5649
phys_qtaim_nontrigger_bcp_H_p05,4239,5649
phys_qtaim_nontrigger_bcp_H_p50,4239,5649
phys_qtaim_nontrigger_bcp_H_p95,4239,5649
phys_qtaim_nontrigger_bcp_H_std,4239,5649
phys_qtaim_nontrigger_bcp_LOL_max,4239,5649
phys_qtaim_nontrigger_bcp_LOL_mean,4239,5649
phys_qtaim_nontrigger_bcp_LOL_min,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p05,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p50,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p95,4239,5649
phys_qtaim_nontrigger_bcp_LOL_std,4239,5649
phys_qtaim_nontrigger_bcp_V_max,4239,5649
phys_qtaim_nontrigger_bcp_V_mean,4239,5649
phys_qtaim_nontrigger_bcp_V_min,4239,5649
phys_qtaim_nontrigger_bcp_V_p05,4239,5649
phys_qtaim_nontrigger_bcp_V_p50,4239,5649
phys_qtaim_nontrigger_bcp_V_p95,4239,5649
phys_qtaim_nontrigger_bcp_V_std,4239,5649
phys_qtaim_nontrigger_bcp_count,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_max,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_mean,4239,5649
