"SourceRoot","SourceRelative","TargetRelative","Action","Note"
"NPJ_submission/code","__pycache__","__pycache__","removed_generated_cache","removed non-source Python cache files from submission code package"
"Manuscript/06_code_release","03_egnn_painn_train.py","03_egnn_painn_train.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","04_ultimate_discovery.py","04_ultimate_discovery.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","05_physics_purifier.py","05_physics_purifier.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","05b_extract_candidates.py","05b_extract_candidates.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","07_kamlet_jacobs_eval.py","07_kamlet_jacobs_eval.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","08a_run_multiwfn_critic2.py","08a_run_multiwfn_critic2.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","08b_ultimate_merge.py","08b_ultimate_merge.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","09_eda_analysis.py","09_eda_analysis.py","existing_same","left unchanged"
"Manuscript/06_code_release","11_log_evaluation.py","11_log_evaluation.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","12_density_calibration_database.py","12_density_calibration_database.py","existing_same","left unchanged"
"Manuscript/06_code_release","13b_candidate_space_al_pareto.py","13b_candidate_space_al_pareto.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","14_ood_trigger_ablation.py","14_ood_trigger_ablation.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","14_plot_final_figure1A_3d_pareto_surface.py","14_plot_final_figure1A_3d_pareto_surface.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","18_build_10d_target_matrix.py","18_build_10d_target_matrix.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","20_prepare_xtb_missing_for_current_db.py","20_prepare_xtb_missing_for_current_db.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","21_finalize_al_iteration.py","21_finalize_al_iteration.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","23_top_synthesizability_evidence.py","23_top_synthesizability_evidence.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","add_final_heat_of_explosion_q_outputs_20260607.py","add_final_heat_of_explosion_q_outputs_20260607.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","compute_final_synthesis_readiness_deepaudit_20260606.py","compute_final_synthesis_readiness_deepaudit_20260606.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","ENVIRONMENT_AND_REPRODUCIBILITY_NOTES.md","ENVIRONMENT_AND_REPRODUCIBILITY_NOTES.md","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\build_final_global_top20_and_manuscript_docs.py","final_freeze_automation\build_final_global_top20_and_manuscript_docs.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\check_08a_al08_ready_20260605.py","final_freeze_automation\check_08a_al08_ready_20260605.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\finalize_al08_manuscript_package.py","final_freeze_automation\finalize_al08_manuscript_package.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\generate_al08_p1_error_vs_similarity.py","final_freeze_automation\generate_al08_p1_error_vs_similarity.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\generate_al08_p3_p5_evidence.py","final_freeze_automation\generate_al08_p3_p5_evidence.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\generate_al08_p4_ranking_stability.py","final_freeze_automation\generate_al08_p4_ranking_stability.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\generate_final_model_comparison_and_outline_index.py","final_freeze_automation\generate_final_model_comparison_and_outline_index.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\organize_al08_final_data_inventory.py","final_freeze_automation\organize_al08_final_data_inventory.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\post_al08_counts_20260605.py","final_freeze_automation\post_al08_counts_20260605.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","final_freeze_automation\sort_integrate_final_database_by_detonation.py","final_freeze_automation\sort_integrate_final_database_by_detonation.py","copied_missing","added to submission code package"
